
"# of Use", "# Izmantošanas"
"An error occurred while updating the product(s) status.", "Kļūda atjaunināt produktu (s) statuss."
"An invalid group ID is specified, "Nederīgs grupas ID tiek norādīts
"An invalid option ID is specified for %s (%s), "Nederīgs variants ID ir norādīta% s (% s)
"An invalid store was specified.", "Nederīgs veikals tika norādīts."
"Anchor Custom Text", "Enkurs Custom Teksts"
"Anchor Custom Title", "Enkurs Custom Nosaukums"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.", "Attiecas uz katalogu produktu un kategoriju tikai. Jebkurš mediju saturs tiks ievietota redaktoru kā statiska URL Tas nav atjaunināta, ja sistēma konfigurācijas bāzes URL izmaiņas.".
"Apply MAP (Default Value)", "Lietot MAP (noklusētā vērtība)"
"Apply To", "Lietot"
"Approved", "Apstiprināts"
"Are you sure you want to delete this category?", "Vai tiešām vēlaties dzēst šo kategoriju?"
"Are you sure you would like to remove all products from your comparison?", "Vai jūs tiešām vēlaties, lai novērstu visus produktus no jūsu salīdzinājumu?"
"Are you sure you would like to remove this item from the compare products?", "Vai jūs tiešām vēlaties, lai novērstu šo posteni no salīdzinātu produktus?"
"Are you sure?", "Vai esat pārliecināts?"
"As low as:", "Kā zema kā:"
"Assign", "Piešķirt"
"Assign product link", "Piešķirt produkta saikne"
"Assign product to category", "Piešķirt produktu kategorijai"
"Assigned Products", "Piešķirtie Products"
"Associated Products", "Saistītie produkti"
"Attrib. Set Name", "Attrib. Kopas nosaukums"
"Attribute ""%s"" is invalid.", "Prasme" "% s" "ir nederīgs."
"Attribute ""%s"" is required.", "Prasme" "% s" "ir nepieciešama."
"Attribute Information", "Prasme informācija"
"Attribute Model", "Prasme Modelis"
"Attribute Name:", "Prasme Nosaukums:"
"Attribute Set", "Atribūtu kopu"
"Attribute Sets", "Prasme komplekti"
"Attribute add", "Prasme pievienot"
"Attribute code is invalid. Please use only letters (a-z), "Prasme kods ir nederīgs. Lūdzu lietot tikai burtus (AZ)
"Attribute group with the "/name/" name already exists", "Prasme grupa ar" / nosaukums / "nosaukumu jau eksistē"
"Attribute remove", "Prasme noņemt"
"Attribute with the same code already exists", "Prasme ar to pašu kodu jau eksistē"
"Attributes", "Atribūti"
"Attrribute names can be specified per store.", "Attrribute nosaukumus var norādīt uz vienu veikalu."
"Autogenerate", "Autogenerate"
"Availability:", "Pieejamība"
"Back", "Atpakaļ"
"Backend Model", "Aizmugure Modelis"
"Backend Table", "Aizmugure tabula"
"Backend Table Title", "Aizmugure tabula Nosaukums"
"Backorders", "Backorders"
"Based On", "Pamatojoties uz"
"Before Order Confirmation", "Pirms pasūtījuma apstiprinājumu"
"Best Value", "Best Value"
"Block after Info Column", "Block pēc Info Kolonna"
"Bottom Block Options Wrapper", "Apakšā Bloks opcijas apvalks"
"Bottom/Left", "Apakšā / kreiso"
"Bottom/Right", "Apakšā / Right"
"Browse By", "Pārlūkot ar"
"Bundle Items", "Paka Items"
"Buy %1$s", "Buy% 1 $ s"
"Buy %1$s for", "Buy% 1 $ s"
"Buy %1$s for %2$s", "Buy% 1 $ s par% 2 $ s"
"Buy %1$s for %2$s (%3$s incl. tax) each", "Buy% 1 $ s priekš% 2 $ s (% 3 $ s iek. Nodoklis) katrs"
"Buy %1$s for %2$s each", "Buy% 1 $ s par 2% $ s katru"
"Cache Lifetime (Seconds)", "Kešatmiņa Mūža (sekundēs)"
"Cache refresh needed.", "Kešatmiņa atsvaidzināt nepieciešams."
"Can be Divided into Multiple Boxes for Shipping", "Var iedalīt vairākās rūtiņās par Shipping"
"Can be used only with catalog input type Dropdown", "Var izmantot tikai ar kataloga ievades veids Nolaižamajā"
"Can be used only with catalog input type Dropdown, "Var izmantot tikai ar kataloga ievades veids nolaižamā
"Can't create image.", "Nevar izveidot tēlu."
"Cancel", "Atcelt"
"Cannot create image.", "Nevar izveidot tēlu."
"Cannot create writeable directory '%s'.", "Nevar izveidot rakstāms direktorija '% s'."
"Cart Item Attribute", "Pirkumu postenis Prasme"
"Catalog", "Katalogs"
"Catalog Category (Anchor)", "Katalogs kategorija (Anchor)"
"Catalog Category (Non-Anchor)", "Katalogs kategorija (Non-Anchor)"
"Catalog Category (Without Subcategories)", "Katalogs kategorija (bez apakškategorijām)"
"Catalog Category Link", "Katalogs kategorija Link"
"Catalog New Products List", "Katalogs Jaunie produkti saraksts"
"Catalog Price Scope", "Katalogs Cenu joma"
"Catalog Product Compare List", "Katalogs Preces Salīdzināt List"
"Catalog Product Email to a Friend", "Katalogs Produkts Nosūtīt draugam"
"Catalog Product Image Gallery Popup", "Katalogs Produktu attēlu galerija Popup"
"Catalog Product Link", "Katalogs Produkts Link"
"Catalog Product View (Any)", "Katalogs Produkts Skatīt (Jebkura)"
"Catalog Product View (Configurable)", "Katalogs Produkts Skatīt (konfigurējams)"
"Catalog Product View (Grouped)", "Katalogs Produkts Skatīt (grupētas)"
"Catalog Product View (Simple)", "Katalogs Produkts Skatīt (vienkāršs)"
"Catalog Product View (Virtual)", "Katalogs Produkts Skatīt (virtuālā)"
"Catalog Section", "Katalogs sadaļa"
"Catalog Seo Sitemap (Category List)", "Katalogs SEO karte (Kategoriju sarkstā)"
"Catalog Seo Sitemap (Category Tree)", "Katalogs SEO karte (kategorija koks)"
"Catalog Seo Sitemap (Common)", "Katalogs SEO karte (kopējā)"
"Catalog Seo Sitemap (Product List)", "Katalogs SEO karte (produktu saraksts)"
"Catalog URL Rewrites", "Katalogs URL Pārstrādātajos tekstos"
"Catalog product custom option values API", "Katalogs produkts pasūtījuma iespēja vērtības API"
"Catalog product custom options API", "Katalogs produkts pasūtījuma iespējas API"
"Catalog, "Katalogs
"Categories", "Kategorijas"
"Categories Sitemap", "Kategorijas karte"
"Category", "Kategorija"
"Category API", "Kategorija API"
"Category Data", "Sadaļa dati"
"Category Flat Data", "Sadaļa vienotas datu"
"Category Link Block Template", "Kategorija Saite Bloks veidne"
"Category Link Inline Template", "Kategorija Saite Inline veidne"
"Category Products", "Kategorijas produktiem"
"Category Top Navigation", "Kategorija augšu navigācijas"
"Category URL Suffix", "Kategorija URL sufikss"
"Category attributes API", "Kategorija atribūti API"
"Category move error", "Kategorija pārvietot kļūda"
"Category move operation is not possible: parent category is equal to child category.", "Kategorija pārvietot darbība nav iespējama: mātes kategorija ir vienāds ar bērna kategorijā."
"Category move operation is not possible: the current category was not found.", "Kategorija pārvietot darbība nav iespējama: pašreizējā kategorija nav atrasts."
"Category move operation is not possible: the new parent category was not found.", "Kategorija pārvietot darbība nav iespējama: jaunā mātes kategorija netika atrasts."
"Category must be an instance of Mage_Catalog_Model_Category.", "Kategorija ir jābūt instance Mage_Catalog_Model_Category."
"Center", "Centrs"
"Change", "Mainīt"
"Change or Retrieve attribute store view", "Mainīt vai Ielādēt atribūtu veikala skats"
"Change status", "Mainīt statusu"
"Check items to add to the cart or", "Pārbaudiet vienumus pievienot grozam vai"
"Choose an Option...", "Izvēlieties opciju ..."
"Clear All", "Iztīrīt"
"Clear Price", "Skaidrs cena"
"Click for price", "Click par cenu"
"Close Window", "Aizvērt logu"
"Collapse All", "Collapse All"
"Comma-separated.", "Ar komatu atdalīti."
"Comparable", "Salīdzināms"
"Comparable on Front-end", "Salīdzināms ar Front-end"
"Comparable on the Frontend", "Salīdzināms uz priekšpuseName"
"Compare", "Salīdzināt"
"Compare Products", "Salīdzināt produktus"
"Conditions Combination", "Apstākļi Kombinācija"
"Configurable Product", "Konfigurējams Produkts"
"Configurable Product Settings", "Konfigurējams Produktu iestatījumi"
"Configure Product", "Konfigurēt Produkts"
"Continue", "Turpināt"
"Copy From Configurable", "Copy No konfigurējams"
"Country/State", "Valsts / Valsts"
"Create", "Izveidot"
"Create (Upload)", "Izveidot (upload)"
"Create Empty", "Izveidot Tukšs"
"Create Permanent Redirect for URLs if URL Key Changed", "Izveidot pastāvīgā Novirzīt URL, ja URL atslēga mainīta"
"Create Permanent Redirect for old URL", "Izveidot pastāvīgā Novirzīt veco URL"
"Create Product Settings", "Izveidot produktu Settings"
"Create Simple Associated Product", "Izveidot Simple Associated Produkts"
"Create attribute set based on another set", "Izveidot atribūtu kopums balstās uz citu komplektu"
"Create new attribute", "Izveidot jaunu atribūtu"
"Create new category", "Izveidot jaunu kategoriju"
"Create new product", "Izveidot jaunu produktu"
"Cross-sells", "Cross-pārdod"
"Currently Shopping by:", "Pašlaik izvēlēts:"
"Custom Design", "Custom Design"
"Custom Options", "Custom Options"
"Custom options", "Custom opcijas"
"Customer Group", "Klientu grupa"
"Customers Reviews", "Klienti apskats"
"Customers Tagged Product", "Klienti Tagged Produkts"
"Data Type for Saving in Database", "Datu tipu Saglabāšana Database"
"Date & Time Custom Options", "Datums un laiks papildus opcijas"
"Date Fields Order", "Datums lauki rīkojums"
"Date Subscribed", "Datums Parakstītais"
"Datetime", "Datetime"
"Decimal", "Decimal"
"Declare attribute value saving scope", "Atzīt atribūta vērtība ietaupījuma apjomu"
"Default ""What's This"" Text Message", "Noklusējums" "Kas tas" "Īsziņa"
"Default Popup Text Message", "Noklusētā Popup Īsziņa"
"Default Price", "Noklusējuma cena"
"Default Price Navigation Step", "Noklusētā Cena navigācijas Solis"
"Default Qty", "Noklusētais Daudz"
"Default Values", "Standartvērtības"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").", "Nosaka bāzes valūtas jomu (" "Valūtas Setup" ">" "Valūtu opcijas" ">" "Bāzes valūta" ")."
"Delete", "Dzēst"
"Delete Attribute", "Dzēst atribūtu"
"Delete Attribute Set", "Dzēst atribūtu kopu"
"Delete Category", "Dzēst kategoriju"
"Delete Group Price", "Dzēst Group cena"
"Delete Option", "Dzēst Option"
"Delete Row", "Dzēst rindu"
"Delete Search", "Dzēst Search"
"Delete Selected Group", "Dzēst izvēlētās grupas"
"Delete Tier", "Dzēst līmeņa"
"Delete attribute", "Dzēst atribūtu"
"Delete category", "Dzēst kategoriju"
"Delete product", "Dzēst produkts"
"Depends on design theme", "Atkarīgs dizaina tēma"
"Design", "Dizains"
"Details", "Details"
"Disabled", "Disabled"
"Disallowed file type.", "Neatļauts faila veids."
"Display Actual Price", "Parādīt faktiskā cena"
"Display Price Interval as One Price", "Parādīt cenu intervālā, kas vienā cenā"
"Display Product Count", "Display Preču skaits"
"Display in Suggested Terms", "Displejs ierosināto noteikumu"
"Double click on a group to rename it", "Double noklikšķiniet uz grupas pārdēvēt to"
"Double click on above image to view full picture", "Double noklikšķiniet uz iepriekš attēlu, lai redzētu pilna attēla"
"Downloadable Information", "Tops informācija"
"Duplicate", "Dublikāts"
"Duplicate website group price customer group.", "Dublikāts mājas grupa cenu klientu grupu."
"Duplicate website tier price customer group and quantity.", "Dublikāts mājas līmeņu cenu klientu grupu un daudzumu."
"Duplicate website, "Dublikāts mājas
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.", "Piemēram {{mediji url =" "ceļš / uz / image.jpg" "}} {{ādas url =" "ceļš / uz / picture.gif" "}}. Dinamiskās direktīvām analizējot ietekmei katalogu sniegumu."
"Edit", "Edit"
"Edit Attribute Set '%s'", "Rediģēt atribūtu kopu '% s'"
"Edit Product Attribute", "Labot Produktu atribūtu"
"Edit Product Attribute ""%s""", "Labot Preces Prasme" "% s" ""
"Edit Search", "Labot Meklēt"
"Edit Search '%s'", "Rediģēt meklēšanas '% s'"
"Edit Set Name", "Labot kopas nosaukumu"
"Email", "E"
"Email to a Friend", "Nosūtīt draugam"
"Empty", "Tukšs"
"Enable MAP", "Aktivizēt karte"
"Enable Qty Increments", "Aktivizēt QTY soļos"
"Enable WYSIWYG", "Aktivizēt WYSIWYG"
"Enabled", "Enabled"
"Error during retrieval of option value: %s", "Kļūda izguves iespējas vērtība:% s"
"Exclude", "Izslēgt"
"Expand All", "Izvērst visu"
"Failed", "Neizdevās"
"Failed to copy file %s. Please, "Neizdevās nokopēt failu% s. Lūdzu
"Failed to move file: %s", "Neizdevās pārvietot failu:% s"
"Feature Products", "Feature Products"
"Field is not complete", "Lauks nav pabeigta"
"File options format is not valid.", "Failu iespējas formāts nav derīgs."
"File upload failed", "Failu augšupielādes neizdevās"
"Filter model name must be declared.", "Filter modeļa nosaukumu jādeklarē."
"Filter must be an object. Please set correct filter.", "Filter jābūt objekts Lūdzu noteikt pareizo filtru.".
"Filterable (no results)", "Filtrējama (nav rezultātu)"
"Filterable (with results)", "Filtrējama (ar rezultātiem)"
"First Name", "Vārds"
"Fixed", "Fixed"
"For internal use.", "Iekšējai lietošanai."
"For the last time placed.", "Par pēdējo reizi ievietots."
"Frontend", "PriekšpuseName"
"Frontend Model", "PriekšpuseName Modelis"
"Frontend Properties", "PriekšpuseName Properties"
"Gallery", "Galerija"
"General Information", "Vispārīga informācija"
"Get full information about attribute with list of options", "Get pilnu informāciju par atribūts ar iespēju sarakstu"
"Get full information about custom option in product", "Get pilnu informāciju par pasūtījuma opciju produkts"
"Get list of available custom option types", "Get sarakstu pieejamo pasūtījuma izvēles veidiem"
"Get list of non-default attributes by product type and attributes set", "Get sarakstu nav noklusējuma atribūtu ražojumu veidu un iestatīt atribūtus"
"Get list of possible attribute types", "Get sarakstu iespējams atribūtu veidus"
"Get special price", "Get īpašu cenu"
"Global", "Global"
"Globally Editable", "Globāli Editable"
"Go to Home Page", "Iet uz mājas lapu"
"Grid", "Grid"
"Group add", "Grupa pievienot"
"Group remove", "Grupa noņemt"
"Grouped Product", "Grupēti Produkts"
"Groups", "Grupas"
"Home", "Mājas"
"ID", "ID"
"ID: %s", "ID:% s"
"If empty, "Ja tukša
"If empty, "Ja tukša
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.", "Ja jums nav jānorāda opciju vērtību konkrētā veikala domām tad noklusējuma (Admin) vērtība tiks izmantota."
"Image", "Image"
"Image content is not valid base64 data.", "Attēls saturs nav derīgs base64 dati."
"Image does not exist.", "Attēls neeksistē."
"Image file was not found.", "Attēla fails netika atrasts."
"Image type and information need to be specified for each store view.", "Attēla tips un informācija ir jānorāda katram veikala skatā."
"In Cart", "In grozam"
"In Stock", "Noliktava"
"In stock", "Noliktavā"
"Incl. Tax", "Iesk. Nodokli"
"Index product and categories URL rewrites", "Indekss produktu un kategoriju URL pārraksta"
"Index product attributes for layered navigation building", "Index produkta atribūti slāņveida navigācijas ēkas"
"Index product prices", "Index produktu cenas"
"Indexed category/products association", "Indexed kategorijas / produkti asociācija"
"Info", "Info"
"Info Column Options Wrapper", "Informācija Kolonnas opcijas apvalks"
"Input Type", "Ieejas Tips"
"Integer", "Integer"
"Interval Division Limit", "Intervāls nodaļa Limit"
"Invalid Tier Prices", "Invalid Tier Cenas"
"Invalid attribute %s", "Nepareiza atribūts% s"
"Invalid attribute option specified for attribute %s (%s), "Nepareiza atribūts iespēja norādīta atribūtam% s (% s)
"Invalid attribute set specified, "Nepareiza atribūts noteikti norādīts
"Invalid block: %s.", "Nepareiza bloku:% s."
"Invalid category IDs.", "Nepareizs kategorijas ID."
"Invalid category.", "Nepareizs kategorijas."
"Invalid image file type.", "Nepareiza attēla faila veids."
"Invalid image type.", "Nepareiza attēla veids."
"Invalid option ID specified for %s (%s), "Nepareiza izvēle ID norādīta% s (% s)
"Invalid product type specified, "Nepareiza produkta norādīts veids
"Invalid store specified", "Nepareiza veikals norādīts"
"Invalid store specified, "Nepareiza veikals norādīts
"Invalid tier prices. The product is not associated to the requested website.", "Nederīgi līmeņa cenas. Produkts nav saistīts ar pieprasīto mājas lapā."
"Inventory", "Inventarizācija"
"Is Default", "Vai Noklusējums"
"Is Required", "Ir nepieciešams"
"Items %s to %s of %s total", "Preces% s uz% s no% s kopā"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.", "Preces, kas jūs nevēlaties, lai parādītu pēc kataloga vai meklēšanas rezultātos būtu statusu" Atspējots ", kas vēlamo veikalā."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.", "Preces, kas jūs nevēlaties, lai parādītu pēc kataloga vai meklēšanas rezultātos būtu statusu" Atspējots ", kas vēlamo veikalā."
"Keep your eyes open for our special Back to School items and save A LOT!", "Saglabājiet jūsu acīm atvērts mūsu īpašo Atpakaļ uz skolu preces un ietaupīt daudz!"
"Label", "Label"
"Last Name", "Uzvārds"
"Last Notification", "Pēdējais paziņojums"
"Layered Navigation", "Kārtojums navigācijas"
"Learn More", "Uzzini vairāk"
"Line %d, "Līnijas% d
"Line %d, "Līnijas% d
"Link (Related, "Link (Attiecas
"Link product does not exist.", "Saite produkts neeksistē."
"Link to a Specified Category", "Saite uz norādīto kategorijas"
"Link to a Specified Product", "Saite uz norādīto produkts"
"List", "Saraksts"
"List Mode", "Saraksts režīms"
"List of Products that are set as New", "Produktu sarakstu, kas ir noteikti kā jauns"
"List of types", "Tipu saraksts"
"Manage Attribute Sets", "Pārvaldīt Atribūtu kopas"
"Manage Attributes", "Pārvaldīt īpašības"
"Manage Catalog Categories", "Pārvaldīt Katalogs kategorijas"
"Manage Categories", "Pārvaldīt kategorijas"
"Manage Label / Options", "Pārvaldīt Label / Iespējas"
"Manage Options (values of your attribute)", "Pārvaldīt opcijas (vērtības jūsu atribūtu)"
"Manage Product Attributes", "Vadīt produkta atribūtiem"
"Manage Product Sets", "Vadīt produkta Sets"
"Manage Products", "Pārvaldīt Produkti"
"Manage Stock", "Pārvaldīt Stock"
"Manage Titles (Size, "Pārvaldīt Nosaukumi (Izmērs
"Max Characters", "Max Blondīne"
"Maximal Depth", "Maksimālais dziļums"
"Maximum Image Size", "Maksimālais attēla izmērs"
"Maximum Number of Price Intervals", "Maksimālais skaits Cena intervāliem"
"Maximum Qty Allowed in Shopping Cart", "Maksimālais Daudz mājdzīvniekiem iepirkumu grozā"
"Maximum allowed image size for '%s' is %sx%s px.", "Maksimālais pieļaujamais attēla izmērs '% s'% sx% s px."
"Maximum image height", "Maksimālais attēla augstums"
"Maximum image width", "Maksimālais attēla platums"
"Maximum number of characters:", "Maksimālais rakstzīmju skaits:"
"Maximum number of price intervals is 100", "Maksimālais skaits cenu intervālu ir 100"
"Media Image", "Mediju Image"
"Minimum Advertised Price", "Minimālā Reklamētā cena"
"Minimum Lines per Page", "Obligātās Lines skaits lapā"
"Minimum Qty Allowed in Shopping Cart", "Minimālais Daudz mājdzīvniekiem iepirkumu grozā"
"Minimum Qty for Item's Status to be Out of Stock", "Minimālā Daudz postenim statuss ir no krājuma"
"Missing SKU, "Trūkst Kods
"More Views", "Vairāk skatu"
"Move", "Move"
"Move category in tree", "Pārvietot kategoriju kokā"
"Must be in the allowed values list.", "Jābūt atļauto vērtību sarakstā."
"N/A", "N / A"
"Name", "Nosaukums"
"Name in %s", "Nosaukums:% s"
"New Product", "Jaunu produktu"
"New Product Attribute", "Jaunu produktu Prasme"
"New Products", "Jaunie produkti"
"New Products Grid Template", "Jaunie produkti Grid veidne"
"New Products List Template", "Jaunie produkti saraksts veidne"
"New Root Category", "Jaunā Root kategorijā"
"New Search", "Jauna meklēšana"
"New Set Name", "Jaunā kopas nosaukums"
"New Subcategory", "Jaunā Apakškategorija"
"Next", "Next"
"No", "Nē"
"No image", "Nav attēla"
"No layout updates", "Nav izkārtojuma atjauninājumi"
"No options of this product are available.", "Nav šī produkta iespējas ir pieejamas."
"No product collections found.", "Nav produktu kolekcijas atrasts."
"None", "Nav"
"Not Visible Individually", "Nav redzams Individuāli"
"Notify Low Stock RSS", "Paziņot zema akciju RSS"
"Notify for Quantity Below", "Paziņot par daudzumu, par"
"Number of Products to Display", "Grozs Preču lai parādītu"
"Number of Uses", "Skaits izmanto"
"Number of results", "Rezultātu skaits"
"Number of results (For the last time placed)", "Rezultātu skaits (pēdējo reizi ievietots)"
"OK", "OK"
"OR", "VAI"
"Old Price:", "Vecā cena:"
"On Gesture", "Par žests"
"Option validation failed to add product to cart.", "Variants validācija neizdevās ielikt grozā."
"Option values", "Opciju vērtības"
"Option:", "Variants:"
"Options", "Iespējas"
"Options Control", "Iespējas Control"
"Options is required", "Iespējas ir nepieciešama"
"Our customer service is available 24/7. Call us at (555) 555-0123.", "Mūsu klientu apkalpošanas ir pieejams 24/7 Zvaniet mums 555-0123 (555).".
"Out of Stock", "Noliktava"
"Out of stock", "No krājuma"
"PM", "PM"
"Page Title Separator", "Dokumenta virsraksts Atdalītājs"
"Parent Category", "Mātes kategorija"
"Pending", "Kamēr"
"Pending Reviews RSS", "Kamēr Atsauksmes RSS"
"Percentage", "Procenti"
"Please add rows to option.", "Lūdzu pievienojiet rindas variantu."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.", "Lūdzu, esiet uzmanīgi, jo, kad jūs noklikšķiniet uz rindas tā būs slodze kompleksiem datu veidotu izvēlēto failu un visi nesaglabātie formu dati tiks zaudēti."
"Please click on the Close Window button if it is not closed automatically.", "Lūdzu, noklikšķiniet uz Aizvērt logu pogu, ja tas netiek slēgts automātiski."
"Please enter a new group name", "Lūdzu ievadiet jauno grupas nosaukumu"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>", "Lūdzu atsvaidzināt" "Katalogs URL Pārstrādātajos tekstos" "un" "Produktu īpašības" "sistēmā -> <a href=""%s""> indekss vadība </ a>"
"Please select a static block ...", "Lūdzu, izvēlieties statisku bloku ..."
"Please select items.", "Lūdzu, izvēlieties objektus."
"Please select one or more attributes.", "Lūdzu, izvēlieties vienu vai vairākas īpašības."
"Please select product(s).", "Lūdzu, izvēlieties produktu (-iem)."
"Please select products for attributes update", "Lūdzu, izvēlieties produktus atribūtiem update"
"Please specify date required option(s).", "Lūdzu, norādiet datumu vajadzīgo variantu (s)."
"Please specify the number of products, "Lūdzu, norādiet produktu skaitu
"Please specify the product required option(s)", "Lūdzu, norādiet Preču vajadzīgo opciju (s)"
"Please specify the product required option(s).", "Lūdzu, norādiet Preču vajadzīgo opciju (s)."
"Please specify the product's option(s).", "Lūdzu, norādiet produkta variantu (s)."
"Please specify the product's required option(s).", "Lūdzu, norādiet produkta nepieciešamo opciju (s)."
"Please specify the quantity of product(s).", "Lūdzu, norādiet produkta daudzumu (-iem)."
"Please specify time required option(s).", "Lūdzu, norādiet laika nepieciešamo opciju (s)."
"Please wait...", "Lūdzu, uzgaidiet ..."
"Position", "Pozīcija"
"Position in Layered Navigation", "Amats Layered Navigācija"
"Position of attribute in layered navigation block", "Nostāja atribūta slāņveida navigācijas bloku"
"Prev", "Iepriekšējais"
"Previous", "Iepriekšējais"
"Price", "Cena"
"Price Navigation Step Calculation", "Cena navigācijas Solis aprēķināšana"
"Price Type", "Cena Tips"
"Price is not available", "Cena nav pieejams"
"Price values for options should be specified in system base currency.", "Cenu vērtības iespējām būtu jāprecizē sistēmas bāzes valūtā."
"Price:", "Cena:"
"Price: %s", "Cena:% s"
"Print This Page", "Izdrukāt šo lapu"
"Product", "Produkts"
"Product API", "Produktu API"
"Product Alerts", "Produktu Brīdinājumi"
"Product Attribute", "Produktu Atribūtu"
"Product Attributes", "Preču īpašības"
"Product Categories", "Produktu kategorijas"
"Product Description", "Produkta apraksts"
"Product Extra Info", "Produkts papildus info"
"Product Flat Data", "Produktu Flat dati"
"Product ID", "Produkta ID"
"Product Image Placeholders", "Produkta attēls vietturus"
"Product Image Watermarks", "Produkta attēls Ūdenszīmes"
"Product Images", "Produktu attēli"
"Product Images API", "Produkts Attēli API"
"Product In Websites", "Produkts Websites"
"Product Info Column", "Informācija par produktu Kolonna"
"Product Information", "Informācija par produktu"
"Product Link Block Template", "Produkts Link Bloks veidne"
"Product Link Inline Template", "Produkts Link Inline veidne"
"Product Listing Sort by", "Produktu sarakstu Kārtot pēc"
"Product Name", "Nosaukums"
"Product Prices", "Produktu cenas"
"Product Reviews", "Atsauksmes par precēm"
"Product Tags", "Preces birkas"
"Product Tier Price API", "Produktu Tier Cena API"
