
"%s was added to your shopping cart.", "%s tika pievienots jūsu iepirkumu grozā."
"%s was updated in your shopping cart.", "%s tika atjaunināts jūsu iepirkumu grozā."
"* Required Fields", "* Obligātie lauki"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.", "Noklikšķiniet <a href=""%s"" onclick=""this.target='_blank'""> šeit drukāt </ a> kopiju jūsu pasūtījuma apstiprinājumu."
"Click <a href=""%s"">here</a> to continue shopping.", "Noklikšķiniet <a href=""%s""> šeit </ a>, lai turpinātu iepirkšanās."
"Close", "Aizvērt"
"Company", "Kompānija"
"Condition Name", "Stāvoklis Vārds"
"Configurable Product Image", "Konfigurējams produkta attēls"
"Configure Cart Item", "Konfigurēt Cart Item"
"Confirm Password", "Apstiprināt paroli"
"Content", "Saturs"
"Content Height", "Satura Augstums"
"Content Height (css)", "Satura Augstums (CSS)"
"Continue", "Turpināt"
"Continue Shopping", "Turpināt iepirkšanos"
"Continue to Billing Information", "Turpināt Norēķinu informācija"
"Continue to Review Your Order", "Turpināt pārskatītu pasūtījuma"
"Continue to Shipping Information", "Turpināt Shipping Information"
"Country", "Valsts"
"Coupon code ""%s"" is not valid.", "Kupona kods" "% s" "nav derīgs."
"Coupon code ""%s"" was applied.", "Kupona kods" "% s" "tika piemērota."
"Coupon code was canceled.", "Kupona kods tika atcelts."
"Create Billing Address", "Izveidot norēķinu adrese"
"Create Shipping Address", "Izveidot piegādes adresi"
"Create an order from shopping cart", "Izveidot pasūtījumu no grozā"
"Create shopping cart", "Izveidot iepirkumu grozu"
"Customer Address is not valid.", "Klients adrese nav derīga."
"Customer Information", "Klienta informācija"
"Customer's information", "Klienta informācija"
"Data saving problem", "Datu ietaupījums problēma"
"Default Billing", "Noklusētais Norēķinu"
"Default Shipping", "Noklusētais Shipping"
"Delete Condition", "Dzēst Condition"
"Details", "Details"
"Disabled", "Disabled"
"Discount Codes", "Atlaižu kodi"
"Display Cart Summary", "Parādīt groza kopsavilkums"
"Display Shopping Cart Sidebar", "Displeja Grozs Sidebar"
"Display item quantities", "Izstādes priekšmets daudzumi"
"Display number of items in cart", "Parādīt vienību skaitu grozā"
"Display number of items in wishlist", "Parādīt vienību skaitu vēlmju sarakstu"
"Easy access to your order history and status", "Viegla piekļuve jūsu pasūtījumu vēsturi un statusu"
"Edit", "Edit"
"Edit Address", "Rediģēt adresi"
"Edit Billing Address", "Rediģēt norēķinu adrese"
"Edit Condition", "Labot Condition"
"Edit Items", "Edit Items"
"Edit Shipping Address", "Labot Piegādes adrese"
"Edit Terms and Conditions", "Labot Noteikumi un nosacījumi"
"Edit Your Cart", "Labot Jūsu grozs"
"Edit item", "Rediģēt vienumu"
"Edit item parameters", "Rediģēt objektu parametrus"
"Email Address", "E-pasta adrese"
"Enable Onepage Checkout", "Aktivizēt Onepage Checkout"
"Enable Terms and Conditions", "Aktivizēt Noteikumi un nosacījumi"
"Enabled", "Enabled"
"Enter a New Address", "Ievadiet jaunu adresi"
"Enter your coupon code if you have one.", "Ievadiet savu kupona kodu, ja jums tāds ir."
"Enter your destination to get a shipping estimate.", "Ievadiet savu galamērķi, lai iegūtu kuģniecības tāmi."
"Estimate Shipping and Tax", "Tāme Piegāde un nodokli"
"Excl. Tax", "Bez. Nodokli"
"Fast and easy check out", "Ātri un viegli pārbaudīt"
"Fax", "Fakss"
"Forgot an Item?", "Aizmirsāt preci?"
"Forgot your password?", "Aizmirsāt paroli?"
"Get a Quote", "Get Citēt"
"Get list of available payment methods", "Get sarakstu pieejamo maksājumu metodes"
"Get list of available shipping methods", "Get sarakstu ar pieejamajiem kuģniecības metodes"
"Get list of products in shopping cart", "Get produktu saraksti grozā"
"Get terms and conditions", "Get nosacījumus"
"Get total prices for shopping cart", "Get kopējos cenas grozā"
"Gift Message", "Dāvanu Ziņu"
"Grand Total:", "Pavisam kopā:"
"Grouped Product Image", "Grupēti produkta attēls"
"HTML", "HTML"
"ID", "ID"
"Incl. Tax", "Iesk. Nodokli"
"Invalid checkout type.", "Nepareiza kases tips."
"Invalid data.", "Nepareiza datus."
"Invalid email address ""%s""", "Nepareiza e-pasta adrese" "% s" ""
"Invalid method: %s", "Nepareiza metode:% s"
"Invalid shipping method.", "Nepareiza kuģniecības metode."
"Item not found or already ordered", "Prece nav atrasta vai jau pasūtīts"
"Items", "Preces"
"Items After", "Preces pēc"
"Items Before", "Preces Pirms"
"Load customer quote error", "Slodzes klientu citāts kļūda"
"Loading next step...", "Iekraušana nākamo soli ..."
"Login", "Pieteikšanās"
"Login/Registration Before", "Pieteikšanās / Reģistrācija Pirms"
"Manage Terms and Conditions", "Pārvaldīt Noteikumi un nosacījumi"
"Maximum Display Recently Added Item(s)", "Maksimālais Display nesen pievienota Prece (s)"
"Maximum qty allowed for Shipping to multiple addresses is %s", "Maksimāli Daudzums ļāva Piegāde uz vairākām adresēm ir% s"
"Minimum order amount is %s", "Minimālais pasūtījuma apjoms ir% s"
"Move", "Move"
"Move to Wishlist", "Pārvietot uz vēlmju sarakstā"
"Multishipping Checkout", "Multishipping Checkout"
"Multishipping Checkout Address (Any) Form", "Multishipping Noformēt adrese (Jebkura) Forma"
"Multishipping Checkout Billing Address Creation", "Multishipping Noformēt Norēķinu adrese radīšana"
"Multishipping Checkout Billing Address Edit Form", "Multishipping Noformēt Norēķinu adrese Edit forma"
"Multishipping Checkout Billing Address Selection", "Multishipping Noformēt Norēķinu adrese izvēle"
"Multishipping Checkout Billing Information Step", "Multishipping Noformēt Norēķinu informācija Solis"
"Multishipping Checkout Customer Address Edit Form", "Multishipping Noformēt Klientu Adrese Edit forma"
"Multishipping Checkout Overview", "Multishipping Checkout pārskats"
"Multishipping Checkout Shipping Address Creation", "Multishipping Noformēt Piegādes adrese radīšana"
"Multishipping Checkout Shipping Address Edit Form", "Multishipping Checkout piegādes adresi Labot Form"
"Multishipping Checkout Shipping Address Selection", "Multishipping Noformēt Piegādes adrese izvēle"
"Multishipping Checkout Shipping Information Step", "Multishipping Noformēt Piegādes informācija Solis"
"Multishipping Checkout Success", "Multishipping Checkout Success"
"My Cart", "Mans grozs"
"My Cart (%s item)", "Mans grozs (% s vienība)"
"My Cart (%s items)", "Mans grozs (% s vienības)"
"My Cart Link", "Mans grozs Link"
"New Address", "Jauna adrese"
"New Condition", "Jaunā Stāvoklis"
"New Terms and Conditions", "Jaunie noteikumi"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER", "KOPĀ RĪKOJUMS tiks parādīts pirms jūs iesniedzat ordeņa"
"One Page Checkout", "One Page Checkout"
"One Page Checkout Failure", "Viens Lapa Noformēt mazspēja"
"One Page Checkout Overview", "Viena lappuse Checkout pārskats"
"One Page Checkout Success", "Viena lappuse Checkout Success"
"One item of products do not have identifier or sku", "Viena vienība produktu nav identifikatoru vai SKU"
"One item of products is not belong any of quote item", "Viens vienība produktiem nav tavu kādu citātu posteņa"
"Order #", "Pasūtīt #"
"Order Review", "Pasūtījuma pārskata"
"Order Success", "Rīkojums Veiksme"
"Order place error.", "Pasūtījuma vieta kļūda."
"Other Items in Your Order", "Citi Preces jūsu pasūtījumā"
"Overview Items After", "Pārskats vienību pēc"
"Password", "Parole"
"Payment Failed Email Reciever", "Maksājumu Neizdevās Email uztvērējs"
"Payment Failed Email Sender", "Maksājumu Neizdevās pasta sūtītājs"
"Payment Failed Emails", "Maksājumu atpalikušo e-pastu"
"Payment Failed Template", "Maksājumu Neizdevās Template"
"Payment Information", "Informācija par maksājumu"
"Payment Method", "Maksājumu veida"
"Payment Methods After Checkout Button", "Maksājumu metodes Pēc izrakstīšanās poga"
"Payment Methods Before Checkout Button", "Maksājumu metodes Pirms izrakstīšanās poga"
"Payment method information", "Maksājuma metode informācija"
"Payment method is not defined", "Maksājuma metode nav definēts"
"Payment methods in shopping cart", "Maksājumu metodes grozā"
"Payment profile # %s: ""%s"".", "Maksājumu profils #% s:" "% s" "."
"Place Order", "Vieta rīkojums"
"Please agree to all Terms and Conditions before placing the order.", "Lūdzu piekrīt visiem noteikumiem un nosacījumiem pirms pasūtījuma."
"Please agree to all Terms and Conditions before placing the orders.", "Lūdzu piekrīt visiem noteikumiem un nosacījumiem, pirms laist pasūtījumus."
"Please agree to all the terms and conditions before placing the order.", "Lūdzu piekrīt visiem noteikumiem un nosacījumiem pirms pasūtījuma."
"Please check billing address information.", "Lūdzu, pārbaudiet norēķinu adreses informāciju."
"Please check shipping address information.", "Lūdzu, pārbaudiet kuģniecības adreses informāciju."
"Please check shipping addresses information.", "Lūdzu, pārbaudiet piegādes adreses informāciju."
"Please choose to register or to checkout as a guest", "Lūdzu izvēlaties reģistrēties vai izrakstīšanās kā viesis"
"Please log in below:", "Lūdzu pieteikties zemāk:"
"Please select region, "Lūdzu, izvēlieties reģionu
"Please select shipping address for applicable items", "Lūdzu, izvēlieties piegādes adresi uz piemērojamajiem posteņiem"
"Please select shipping methods for all addresses", "Lūdzu, izvēlieties kuģniecības metodes visām adresēm"
"Please select valid payment method.", "Lūdzu, izvēlieties derīgu maksājuma veidu."
"Please specify payment method.", "Lūdzu, norādiet maksājuma veidu."
"Please specify shipping method.", "Lūdzu, norādiet kuģniecības metode."
"Please specify shipping methods for all addresses.", "Lūdzu, norādiet kuģniecības metodes visām adresēm."
"Price", "Cena"
"Proceed to Checkout", "Dodieties uz izeju"
"Product", "Produkts"
"Product Name", "Nosaukums"
"Products", "Produkti"
"Qty", "Daudz"
"Qty:", "Daudz:"
"Quantity was recalculated from %d to %d", "Daudzums tika pārrēķinātas no% d līdz% d"
"Quote Lifetime (days)", "Citāts Mūža (dienas)"
"Quote item does not exist.", "Citāts vienība neeksistē."
"Quote item is not found.", "Citāts pozīcija nav atrasts."
"Recently added item(s)", "Nesen pievienotās prece (s)"
"Register", "Reģistrācija"
"Register and save time!", "Reģistrācija un ietaupīt laiku!"
"Register to Create an Account", "Reģistrēties, lai izveidotu kontu"
"Register with us for future convenience:", "Reģistrējieties pie mums nākotnes ērtībai:"
"Remove Item", "Noņemt Item"
"Remove This Item", "Dzēst šo lietu"
"Remove coupon code from shopping cart", "Noņemt kupona kodu grozā"
"Remove item", "Noņemt objektu"
"Remove product from shopping cart", "Noņemt produktu no grozā"
"Remove product(s) from shopping cart", "Pārvietot produktu (s) no grozā"
"Require Customer To Be Logged In To Checkout", "Pieprasīt Klientu jābūt pieteicies Lai pirkumu"
"Retrieve information about shopping cart", "Atdod informāciju par iepirkumu grozā"
"Review Order", "Pārskats rīkojums"
"Review Order - %s", "Pārskats rīkojums -% s"
"Sales", "Sales"
"Save Condition", "Save Condition"
"Save in address book", "Saglabāt adrešu grāmatā"
"See price before order confirmation.", "Skat cena pirms pasūtījuma apstiprināšanas."
"Select Address", "Izvēlēties adrese"
"Select Addresses", "Izvēlēties adreses"
"Select Shipping Method", "Izvēlieties Piegādes veids"
"Select State/Province...", "Izvēlēties Valsts / province ..."
"Select a billing address from your address book or enter a new address.", "Izvēlieties norēķinu adresi no adrešu grāmatas vai ievadiet jaunu adresi."
"Select a shipping address from your address book or enter a new address.", "Izvēlieties piegādes adresi no adrešu grāmatas vai ievadiet jaunu adresi."
"Send Payment Failed Email Copy Method", "Sūtīt maksājums neizdevās Email Copy metode"
"Send Payment Failed Email Copy To", "Sūtīt maksājums neizdevās pasta kopiju uz"
"Send To", "Sūtīt"
"Separate by "", "Nošķirti" "
"Set customer for shopping cart", "Set pasūtītājam grozā"
"Set customer's addresses in shopping cart", "Set klienta adreses grozā"
"Set payment method", "Set maksājuma veidu"
"Set shipping method", "Set kuģniecības metode"
"Ship to Multiple Addresses", "Kuģis uz vairākām adresēm"
"Ship to different address", "Piegādāt uz citu adresi"
"Ship to this address", "Piegādāt uz šo adresi"
"Shipping Address", "Piegādes adrese"
"Shipping Information", "Piegādes informācija"
"Shipping Method", "Piegādes veids"
"Shipping Methods", "Kuģniecības metodes"
"Shipping To", "Pārvadājumi uz"
"Shipping information", "Piegādes informācija"
"Shipping method has not been selected yet", "Piegādes metode nav izvēlēts vēl"
"Shipping methods in shopping cart", "Kuģošanas metodes grozā"
"Shipping selection is not applicable.", "Piegādes izvēle nav piemērojams."
"Shopping Cart", "Grozs"
"Shopping Cart Form Before", "Grozs forma Pirms"
"Shopping Cart Sidebar", "Grozs Sidebar"
"Shopping Cart Sidebar Extra Actions", "Iepirkumu grozs Sidebar Extra pasākumi"
"Shopping Cart is Empty", "Iepirkumu grozs ir tukšs"
"Shopping cart ability to set coupon code", "Iepirkumu grozs spēja noteikt kupona kods"
"Show Content as", "Parādīt saturu, kā"
"Some of the requested products are not available in the desired quantity.", "Daži no pieprasītajiem produkti nav pieejami nepieciešamajā daudzumā."
"Some of the requested products are unavailable.", "Daži no pieprasītajiem produktiem ir pieejami."
"Some products quantities were recalculated because of quantity increment mismatch", "Daži produkti daudzumi tika pārrēķinātas, jo daudzums pieauguma neatbilstību"
"Sorry, "Atvainojiet
"Sorry, "Atvainojiet
"Sorry, "Atvainojiet
"State/Province", "Valsts / province"
"Status", "Statuss"
"Store View", "Veikals View"
"Street Address", "Adrese"
"Street Address %s", "Adrese% s"
"Submitting order information...", "Iesniegšana pasūtījuma informāciju ..."
"Subtotal", "Starpsumma"
"Subtotal must exceed minimum order amount", "Starpsumma jāpārsniedz minimālā pasūtījuma summa"
"Telephone", "Tālrunis"
"Terms and Conditions", "Noteikumi un nosacījumi"
"Terms and Conditions Information", "Noteikumi informācija"
"Terms and conditions", "Noteikumi un nosacījumi"
"Text", "Teksts"
"Thank you for your purchase!", "Paldies par pirkumu!"
"The condition has been deleted", "Nosacījums ir svītrots"
"The condition has been saved.", "Nosacījums ir saglabāts."
"The onepage checkout is disabled.", "Onepage kases ir atslēgts."
"The product could not be found.", "Produkts nevar atrast."
"The product does not exist.", "Produkts neeksistē."
"There are <a href=""%s"">%s items</a> in your cart.", "Ir <a href=""%s"">% s priekšmeti </ a> savā grozā."
"There is <a href=""%s"">1 item</a> in your cart.", "Ir <a href=""%s""> 1 prece </ a> savā grozā."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.", "Ir jau reģistrēts klients, izmantojot šo e-pasta adresi lūdzu ienāciet, izmantojot šo e-pasta adresi vai ievadiet citu e-pasta adresi, lai reģistrētos savu kontu.".
"There was an error processing your order. Please contact us or try again later.", "Tur bija kļūda, apstrādājot savu pasūtījumu, lūdzu, sazinieties ar mums vai mēģiniet vēlreiz vēlāk.".
"This condition no longer exists.", "Šis nosacījums vairs nepastāv."
"Total", "Kopā"
"Total for this address", "Kopā šajā adresē"
"Unable to set Payment Method.", "Nevar noteikt maksājumu metodi."
"Unit Price", "Vienības cena"
"Update Cart", "Atjaunināt grozs"
"Update Qty &amp; Addresses", "Atjaunināt Daudz &amp; Adreses"
"Update Shopping Cart", "Atjaunināt Grozs"
"Update Total", "Atjaunināt Kopā"
"Update product quantities in shopping cart", "Atjaunināt produktu daudzumu iepirkumu grozā"
"Update product(s) quantities in shopping cart", "Atjaunināt produkta (-u) daudzums grozā"
"Use Billing Address", "Lietot norēķinu adrese"
"VAT Number", "PVN reģistrācijas numurs"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.", "Mēs apstrādājam jūsu pasūtījumu, un jūs drīz saņemsiet e-pastu ar informāciju par rīkojuma Kad pasūtījums ir nosūtīts jūs saņemsiet jaunu e-pastu ar saiti, lai sekotu tās attīstībai.".
"What's this?", "Kas tas ir?"
"You have no items in your shopping cart.", "Jums ir tukšs Jūsu iepirkumu grozā."
"You will receive an order confirmation email with details of your order and a link to track its progress.", "Jūs saņemsiet pasūtījuma apstiprinājuma e-pastu ar informāciju par pasūtījumu un saiti, lai izsekotu tās attīstību."
"Your Checkout Progress", "Jūsu Checkout Progress"
"Your billing agreement # is: %s.", "Jūsu norēķinu līgums # ir:% s."
"Your order # is: %s.", "Jūsu pasūtījums # ir:% s."
"Your order cannot be completed at this time as there is no payment methods available for it.", "Jūsu pasūtījums nevar tikt pabeigta, šajā laikā, jo nav maksājumu metodes pieejams par to."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.", "Jūsu pasūtījums nevar tikt pabeigta, šajā laikā, jo nav kuģniecības metodes pieejams par to Lūdzu veikt nepieciešamās izmaiņas savā piegādes adresi.".
"Your order has been received.", "Jūsu pasūtījums ir saņemts."
"Your order number is ", "Jūsu kārtas numuru"
"Your recurring payment profiles:", "Jūsu atkārtojas maksājumu profilus:"
"Zip/Postal Code", "Zip / Postal"
